0
Robert Mugabe International Airport,HARARE,FVRG,HRE,-17.920367,31.100278,,,
JOSHUA NKOMO INTERNATIONAL AIRPORT,BULAWAYO,FVJN,BUQ,-20.018339,28.619702,,,
VICTORIA FALLS INTERNATIONAL AIRPORT,VICTORIA_FALLS,FVFA,VFA,-18.096420,25.834404,,,
Julius Nyerere International Airport,DARESSALAM,HTDA,DAR,-6.872368,39.208247,,,
LILONGWE INTERNATIONAL AIRPORT,LILONGWE,FWKI,LLW,-13.785659,33.776442,,,
O.R. TAMBO INTERNATIONAL AIRPORT,JOHANNESBURG,FAOR,JNB,-26.134662,28.241152,,,
KENNETH KAUNDA INTERNATIONAL AIRPORT,LUSAKA,FLKK,LUN,-15.329806,28.444509,,,
Abuja,Abuja,DNAA,ABV,00000,00000,,,
Accra,Accra,DGAA,ACC,00000,00000,,,
Akure,Akure,DNAK,AKR,00000,00000,,,
Benin,Benin,DBNE,BNI,00000,00000,,,
Calabar,Calabar,DNCA,CBQ,00000,00000,,,
Enugu,Enugu,DNEN,ENU,00000,00000,,,
Kaduna,Kaduna,DNAK,KAD,00000,00000,,,
Kano,Kano,DNKN,KAN,00000,00000,,,
Lagos,Lagos,DNMM,LOS,00000,00000,,,
Port Hacourt,Port Hacourt,DNPO,PHC,00000,00000,,,
Oweri,Oweri,DNIM,QOW,00000,00000,,,
Uyo,Uyo,DNAI,QUO,00000,00000,,,
Yola,Yola,DNYO,YOL,00000,00000,,,
Kruger Mpumalanga,Mpumalanga,FAKN,MQP,-25.39166667,31.10000000,,,
